cov1,cov2,cov3,cov4,cov5,cov6,cov7,sal_pur_rat,igst_itc_tot_itc_rat,lib_igst_itc_rat
0.9886994,1.0216548,0.29961804,0.33720452,0.07860766,-0.013137559,0.7795762,-0.031367224,-0.10150868,-0.056997873
0.9991857,0.99948484,0.4604486,0.4793964,-4.662563e-06,0.7361905,0.95715326,-0.032595716,1.9771396,-0.05443235
0.792944,0.6317544,-0.46072835,0.66011375,0.0002577767,0.84166694,0.9340026,-0.030731423,-0.25121504,-0.05481369
0.7428758,0.9301242,-0.57986236,-0.54584503,-0.19842403,0.7930086,0.692674,-0.0342593,0.5926504,-0.057274293
0.99870837,0.59812343,0.039478358,-0.011601885,2.5421489e-06,0.9269473,0.3629524,-0.032385636,-0.6438488,-0.05294731
0.9663109,0.9749646,0.28668642,0.3811466,0.19062409,-0.4253228,0.8178901,-0.02705798,0.6481556,-0.051339578
0.99897903,0.9369565,0.89681435,0.75589365,2.7538847e-05,0.87781334,0.4133187,-0.031439066,0.10979457,-0.05402827
0.9347871,0.565493,-0.50238943,-0.7064326,0.8665777,0.8739871,1.2821026,-0.027599746,0.57835215,-0.05571095
0.96265,0.9314201,0.38897148,0.47190535,0.27089265,0.12850858,0.9879044,-0.02927746,1.6903354,-0.052538503
0.96208245,1.0747788,-0.3562904,-0.29631743,1.2254889,0.44784537,0.86318254,-0.022776794,0.6371949,-0.044473965
0.99881065,0.9808394,0.105790384,0.08178825,7.136316e-05,0.3214881,0.37006414,-0.033045836,-1.0150183,-0.03854004
0.9983884,0.6632791,-0.06821578,-0.052866723,-3.0054141e-05,0.24310876,-0.15200062,-0.03214173,-0.27544186,-0.053856887
0.749486,0.6803182,-0.611098,-1.0394281,0.38402045,0.8633659,1.0556221,-0.041510552,-1.2882091,-0.050077263
0.9982395,0.976482,0.07206301,0.07632863,-1.3044466e-05,0.66435075,0.938284,-0.03250674,1.6511601,-0.0542697
0.33861387,1.057234,0.24787265,-0.32232624,0.0002227366,0.44134846,0.12407955,-0.030093033,-1.1961802,-0.044308748
0.99772865,0.95390964,0.54549724,0.4486626,0.00015128926,0.8673319,0.15635566,-0.031964753,-1.0217569,-0.035841938
0.9996298,0.9976637,-0.03100263,-0.038390618,-1.2113143e-05,0.9079116,0.5204189,-0.032709695,-0.6991865,-0.05341459
0.9991712,1.0002645,0.0066471654,0.033651393,-3.5619723e-05,0.72573924,0.4544912,-0.032846075,-0.9285779,-0.05033886
0.9835941,0.9339121,0.08436586,-0.012290892,-0.23422809,0.9247466,0.74696505,-0.036546394,-0.27900404,-0.05180682
0.9993751,0.9727265,-0.19145927,-0.20288073,-1.714601e-05,0.9576683,0.4985943,-0.03301677,0.09376107,-0.054153636
0.9588353,0.8404266,0.037952166,-0.2098303,0.33473387,0.81548476,0.9505966,-0.035020676,0.22733273,-0.056197654
0.99843115,0.9453176,0.91571313,0.9252579,9.558127e-05,0.027340671,0.76633394,-0.029194715,1.2289128,-0.0534576
0.9013763,0.97842157,-0.15574652,-0.17533366,1.7522964,0.60860634,0.31391573,-0.02385769,-0.065843865,-0.0379924
1.000202,0.999269,0.38197494,0.37860754,-2.6924898e-05,-0.30418482,0.9947792,-0.03311593,2.0128064,-0.05433641
0.9009382,0.9406887,-0.1896109,0.18522844,0.17702429,0.5754961,0.7756278,-0.03569803,1.5463166,-0.059535373
